lokalizacja,cena,do_wynajecia_przez,liczba_pokoi,rodzaj_nieruchomosci,wielkosc,parking,liczba_lazienek,palacy,przyjazne_zwierzakom,liczba_wyrazow
"Śródmieście, Warszawa",2500,Właściciel,2 pokoje,Mieszkanie,35,Nie podano,Nie podano,Tak,Tak,145
"Śródmieście, Warszawa",3800,Właściciel,2 pokoje,Mieszkanie,55,Garaż,Nie podano,Tak,Tak,188
"Śródmieście, Warszawa",2990,Właściciel,2 pokoje,Mieszkanie,40,Garaż,Nie podano,Tak,Tak,130
"Śródmieście, Warszawa",3000,Właściciel,2 pokoje,Mieszkanie,48,Nie podano,1 łazienka,Tak,Tak,40
"Śródmieście, Warszawa",2900,Właściciel,2 pokoje,Mieszkanie,47,Nie podano,1 łazienka,Nie,Tak,212
"Śródmieście, Warszawa",2100,Właściciel,2 pokoje,Mieszkanie,35,Nie podano,1 łazienka,Tak,Tak,67
"Śródmieście, Warszawa",2500,Agencja,2 pokoje,Mieszkanie,60,Garaż,1 łazienka,Tak,Nie,128
"Śródmieście, Warszawa",1500,Agencja,Kawalerka lub garsoniera,Mieszkanie,35,Ulica,1 łazienka,Tak,Tak,110
"Śródmieście, Warszawa",2400,Agencja,2 pokoje,Mieszkanie,54,Nie podano,Nie podano,Tak,Tak,169
"Śródmieście, Warszawa",4000,Agencja,3 pokoje,Mieszkanie,100,Ulica,1 łazienka,Tak,Tak,42
"Śródmieście, Warszawa",3000,Agencja,3 pokoje,Mieszkanie,92,Nie podano,Nie podano,Tak,Tak,114
"Śródmieście, Warszawa",2300,Agencja,3 pokoje,Mieszkanie,47,Ulica,Nie podano,Tak,Tak,118
"Śródmieście, Warszawa",2000,Agencja,Kawalerka lub garsoniera,Mieszkanie,36,Ulica,Nie podano,Tak,Tak,133
"Śródmieście, Warszawa",2200,Agencja,Kawalerka lub garsoniera,Mieszkanie,41,Ulica,Nie podano,Tak,Tak,188
"Śródmieście, Warszawa",2500,Agencja,2 pokoje,Mieszkanie,40,Nie podano,Nie podano,Tak,Tak,92
"Śródmieście, Warszawa",2800,Agencja,2 pokoje,Mieszkanie,55,Nie podano,1 łazienka,Tak,Tak,139
"Śródmieście, Warszawa",2800,Agencja,2 pokoje,Mieszkanie,44,Nie podano,1 łazienka,Tak,Tak,152
"Śródmieście, Warszawa",2600,Agencja,2 pokoje,Mieszkanie,65,Nie podano,1 łazienka,Tak,Tak,141
"Śródmieście, Warszawa",2300,Agencja,Kawalerka lub garsoniera,Mieszkanie,33,Nie podano,1 łazienka,Tak,Tak,154
"Śródmieście, Warszawa",2200,Agencja,2 pokoje,Mieszkanie,52,Nie podano,1 łazienka,Tak,Tak,172
"Śródmieście, Warszawa",2500,Agencja,2 pokoje,Mieszkanie,59,Nie podano,1 łazienka,Tak,Tak,161
"Śródmieście, Warszawa",2840,Agencja,2 pokoje,Mieszkanie,37,Nie podano,1 łazienka,Tak,Tak,169
"Śródmieście, Warszawa",2900,Agencja,2 pokoje,Mieszkanie,50,Nie podano,1 łazienka,Tak,Tak,172
"Śródmieście, Warszawa",2490,Agencja,2 pokoje,Mieszkanie,38,Nie podano,1 łazienka,Tak,Tak,192
"Śródmieście, Warszawa",2700,Agencja,2 pokoje,Mieszkanie,46,Nie podano,1 łazienka,Tak,Tak,207
"Śródmieście, Warszawa",2850,Agencja,2 pokoje,Mieszkanie,35,Nie podano,1 łazienka,Tak,Tak,160
"Śródmieście, Warszawa",2500,Agencja,2 pokoje,Mieszkanie,38,Nie podano,1 łazienka,Tak,Tak,141
"Śródmieście, Warszawa",2000,Agencja,2 pokoje,Mieszkanie,36,Nie podano,1 łazienka,Tak,Tak,147
"Śródmieście, Warszawa",4000,Agencja,2 pokoje,Mieszkanie,63,Ulica,Nie podano,Tak,Tak,174
"Śródmieście, Warszawa",5000,Agencja,2 pokoje,Mieszkanie,62,Ulica,Nie podano,Tak,Tak,131
"Śródmieście, Warszawa",3000,Agencja,2 pokoje,Mieszkanie,50,Nie podano,Nie podano,Tak,Tak,101
"Śródmieście, Warszawa",2800,Agencja,2 pokoje,Mieszkanie,50,Nie podano,1 łazienka,Tak,Tak,168
"Śródmieście, Warszawa",2900,Agencja,2 pokoje,Mieszkanie,36,Nie podano,Nie podano,Tak,Tak,108
"Śródmieście, Warszawa",2400,Agencja,2 pokoje,Mieszkanie,50,Nie podano,1 łazienka,Tak,Tak,152
"Śródmieście, Warszawa",4500,Agencja,3 pokoje,Mieszkanie,100,Garaż,1 łazienka,Tak,Tak,175
"Śródmieście, Warszawa",4500,Agencja,2 pokoje,Mieszkanie,57,Nie podano,1 łazienka,Tak,Tak,185
"Śródmieście, Warszawa",2400,Agencja,2 pokoje,Mieszkanie,46,Nie podano,1 łazienka,Tak,Tak,162
"Śródmieście, Warszawa",2799,Agencja,2 pokoje,Mieszkanie,33,Brak,Nie podano,Tak,Tak,174
"Śródmieście, Warszawa",4600,Agencja,2 pokoje,Mieszkanie,54,Ulica,Nie podano,Tak,Tak,209
"Śródmieście, Warszawa",3200,Agencja,2 pokoje,Mieszkanie,56,Brak,Nie podano,Tak,Tak,92
"Śródmieście, Warszawa",3000,Agencja,2 pokoje,Mieszkanie,63,Nie podano,Nie podano,Tak,Tak,89
"Śródmieście, Warszawa",2800,Agencja,2 pokoje,Mieszkanie,63,Garaż,1 łazienka,Tak,Tak,167
"Śródmieście, Warszawa",3000,Agencja,2 pokoje,Mieszkanie,36,Nie podano,1 łazienka,Tak,Tak,191
"Śródmieście, Warszawa",2400,Agencja,2 pokoje,Mieszkanie,55,Nie podano,1 łazienka,Tak,Tak,158
"Śródmieście, Warszawa",3000,Agencja,2 pokoje,Mieszkanie,59,Nie podano,1 łazienka,Tak,Tak,146
"Śródmieście, Warszawa",2400,Właściciel,2 pokoje,Mieszkanie,45,Ulica,1 łazienka,Tak,Tak,26
"Śródmieście, Warszawa",2650,Agencja,2 pokoje,Mieszkanie,50,Nie podano,1 łazienka,Tak,Tak,159
"Śródmieście, Warszawa",2600,Agencja,2 pokoje,Mieszkanie,36,Nie podano,Nie podano,Tak,Tak,72
"Śródmieście, Warszawa",4000,Agencja,2 pokoje,Mieszkanie,53,Garaż,1 łazienka,Tak,Tak,171
"Śródmieście, Warszawa",2800,Agencja,2 pokoje,Mieszkanie,41,Nie podano,1 łazienka,Tak,Tak,158
"Śródmieście, Warszawa",2550,Agencja,2 pokoje,Mieszkanie,40,Nie podano,1 łazienka,Tak,Tak,187
"Śródmieście, Warszawa",2200,Agencja,Kawalerka lub garsoniera,Mieszkanie,45,Nie podano,1 łazienka,Tak,Tak,168
"Śródmieście, Warszawa",4200,Agencja,3 pokoje,Mieszkanie,87,Nie podano,1 łazienka,Tak,Tak,196
"Śródmieście, Warszawa",4500,Agencja,2 pokoje,Mieszkanie,67,Nie podano,1 łazienka,Tak,Tak,150
"Śródmieście, Warszawa",3500,Agencja,3 pokoje,Mieszkanie,58,Nie podano,1 łazienka,Tak,Tak,200
"Śródmieście, Warszawa",3500,Agencja,2 pokoje,Mieszkanie,48,Nie podano,1 łazienka,Tak,Tak,179
"Śródmieście, Warszawa",4200,Agencja,4 pokoje,Mieszkanie,75,Nie podano,1 łazienka,Tak,Tak,179
"Śródmieście, Warszawa",3200,Agencja,2 pokoje,Mieszkanie,54,Nie podano,1 łazienka,Tak,Tak,175
"Śródmieście, Warszawa",3200,Agencja,3 pokoje,Mieszkanie,50,Nie podano,1 łazienka,Tak,Tak,164
"Śródmieście, Warszawa",2500,Agencja,2 pokoje,Mieszkanie,34,Nie podano,1 łazienka,Tak,Tak,135
"Śródmieście, Warszawa",2200,Właściciel,Kawalerka lub garsoniera,Mieszkanie,29,Nie podano,1 łazienka,Tak,Tak,115
"Śródmieście, Warszawa",2800,Agencja,2 pokoje,Mieszkanie,56,Nie podano,1 łazienka,Tak,Tak,128
"Śródmieście, Warszawa",2730,Agencja,2 pokoje,Mieszkanie,49,Nie podano,1 łazienka,Tak,Tak,168
"Śródmieście, Warszawa",2150,Agencja,Kawalerka lub garsoniera,Inne,38,Nie podano,1 łazienka,Tak,Tak,143
"Śródmieście, Warszawa",3100,Agencja,3 pokoje,Mieszkanie,65,Nie podano,1 łazienka,Tak,Tak,148
"Śródmieście, Warszawa",3550,Agencja,3 pokoje,Mieszkanie,61,Nie podano,1 łazienka,Tak,Tak,123
"Śródmieście, Warszawa",3700,Agencja,2 pokoje,Mieszkanie,46,Nie podano,1 łazienka,Tak,Tak,160
"Śródmieście, Warszawa",2300,Agencja,2 pokoje,Mieszkanie,42,Nie podano,1 łazienka,Tak,Tak,185
"Śródmieście, Warszawa",2400,Agencja,2 pokoje,Mieszkanie,37,Nie podano,1 łazienka,Tak,Tak,136
"Śródmieście, Warszawa",3900,Agencja,3 pokoje,Mieszkanie,60,Nie podano,Nie podano,Tak,Tak,99
"Śródmieście, Warszawa",2300,Agencja,Kawalerka lub garsoniera,Mieszkanie,31,Nie podano,1 łazienka,Tak,Tak,135
"Śródmieście, Warszawa",2850,Agencja,3 pokoje,Mieszkanie,46,Nie podano,1 łazienka,Tak,Tak,167
"Śródmieście, Warszawa",2400,Agencja,2 pokoje,Mieszkanie,57,Nie podano,Nie podano,Tak,Tak,79
"Śródmieście, Warszawa",2000,Agencja,2 pokoje,Mieszkanie,45,Nie podano,1 łazienka,Tak,Tak,151
"Śródmieście, Warszawa",2800,Agencja,2 pokoje,Mieszkanie,55,Nie podano,1 łazienka,Tak,Tak,139
"Śródmieście, Warszawa",2800,Agencja,2 pokoje,Mieszkanie,44,Nie podano,1 łazienka,Tak,Tak,152
"Śródmieście, Warszawa",4500,Agencja,3 pokoje,Mieszkanie,94,Garaż,2 łazienki,Nie,Nie,189
"Śródmieście, Warszawa",2600,Agencja,2 pokoje,Mieszkanie,65,Nie podano,1 łazienka,Tak,Tak,141
"Śródmieście, Warszawa",2300,Agencja,Kawalerka lub garsoniera,Mieszkanie,33,Nie podano,1 łazienka,Tak,Tak,154
"Śródmieście, Warszawa",2200,Agencja,2 pokoje,Mieszkanie,52,Nie podano,1 łazienka,Tak,Tak,172
"Śródmieście, Warszawa",2500,Agencja,2 pokoje,Mieszkanie,59,Nie podano,1 łazienka,Tak,Tak,161
"Śródmieście, Warszawa",4500,Agencja,3 pokoje,Mieszkanie,80,Garaż,1 łazienka,Tak,Tak,110
"Śródmieście, Warszawa",3500,Agencja,2 pokoje,Mieszkanie,58,Garaż,1 łazienka,Tak,Tak,117
"Śródmieście, Warszawa",4200,Agencja,2 pokoje,Mieszkanie,58,Garaż,1 łazienka,Tak,Tak,217
"Śródmieście, Warszawa",1950,Właściciel,Kawalerka lub garsoniera,Mieszkanie,38,Nie podano,1 łazienka,Tak,Tak,31
"Śródmieście, Warszawa",2100,Agencja,Kawalerka lub garsoniera,Mieszkanie,30,Garaż,1 łazienka,Tak,Tak,70
"Śródmieście, Warszawa",2400,Właściciel,2 pokoje,Mieszkanie,45,Ulica,1 łazienka,Tak,Tak,26
"Śródmieście, Warszawa",1950,Agencja,2 pokoje,Inne,38,Nie podano,1 łazienka,Tak,Tak,71
"Śródmieście, Warszawa",2300,Agencja,Kawalerka lub garsoniera,Mieszkanie,31,Nie podano,Nie podano,Tak,Tak,52
"Śródmieście, Warszawa",1890,Agencja,Kawalerka lub garsoniera,Mieszkanie,34,Ulica,1 łazienka,Nie,Nie,113
"Śródmieście, Warszawa",2100,Właściciel,2 pokoje,Mieszkanie,35,Nie podano,1 łazienka,Tak,Nie,67
"Śródmieście, Warszawa",4900,Agencja,4 pokoje,Mieszkanie,94,Nie podano,Nie podano,Tak,Tak,240
"Śródmieście, Warszawa",3800,Właściciel,2 pokoje,Mieszkanie,64,Nie podano,2 łazienki,Tak,Tak,238
"Targówek, Warszawa",2100,Właściciel,3 pokoje,Mieszkanie,50,Ulica,1 łazienka,Nie,Tak,84
"Targówek, Warszawa",1950,Agencja,2 pokoje,Mieszkanie,45,Garaż,1 łazienka,Nie,Tak,162
"Targówek, Warszawa",1600,Właściciel,2 pokoje,Mieszkanie,39,Ulica,1 łazienka,Nie,Nie,108
"Ursus, Warszawa",2700,Agencja,2 pokoje,Mieszkanie,62,Nie podano,Nie podano,Tak,Tak,83
"Ursus, Warszawa",1000,Właściciel,2 pokoje,Mieszkanie,35,Nie podano,1 łazienka,Tak,Tak,24
"Ursus, Warszawa",1800,Właściciel,2 pokoje,Mieszkanie,46,Garaż,1 łazienka,Nie,Tak,85
"Ursynów, Warszawa",3100,Właściciel,3 pokoje,Mieszkanie,73,Garaż,2 łazienki,Nie,Tak,83
"Ursynów, Warszawa",2800,Agencja,2 pokoje,Mieszkanie,67,Nie podano,Nie podano,Tak,Tak,71
"Ursynów, Warszawa",2700,Właściciel,3 pokoje,Mieszkanie,69,Ulica,1 łazienka,Tak,Tak,122
"Ursynów, Warszawa",2600,Agencja,2 pokoje,Mieszkanie,55,Nie podano,Nie podano,Tak,Tak,107
"Ursynów, Warszawa",1800,Agencja,Kawalerka lub garsoniera,Mieszkanie,39,Nie podano,Nie podano,Tak,Tak,108
"Ursynów, Warszawa",2150,Właściciel,2 pokoje,Mieszkanie,36,Garaż,1 łazienka,Nie,Nie,80
"Ursynów, Warszawa",2200,Właściciel,2 pokoje,Mieszkanie,50,Ulica,1 łazienka,Tak,Tak,262
"Ursynów, Warszawa",2800,Agencja,2 pokoje,Mieszkanie,64,Nie podano,1 łazienka,Tak,Tak,184
"Ursynów, Warszawa",3250,Agencja,2 pokoje,Mieszkanie,55,Garaż,1 łazienka,Tak,Tak,142
"Ursynów, Warszawa",2350,Agencja,2 pokoje,Mieszkanie,57,Nie podano,1 łazienka,Tak,Tak,191
"Ursynów, Warszawa",2300,Agencja,2 pokoje,Mieszkanie,56,Kryty,Nie podano,Tak,Tak,57
"Ursynów, Warszawa",3000,Agencja,3 pokoje,Mieszkanie,72,Nie podano,Nie podano,Tak,Tak,98
"Ursynów, Warszawa",3200,Agencja,4 pokoje,Mieszkanie,74,Nie podano,1 łazienka,Tak,Tak,154
"Ursynów, Warszawa",2900,Agencja,3 pokoje,Mieszkanie,53,Nie podano,1 łazienka,Tak,Tak,159
"Ursynów, Warszawa",2700,Agencja,2 pokoje,Mieszkanie,47,Garaż,1 łazienka,Tak,Tak,156
"Ursynów, Warszawa",3600,Agencja,3 pokoje,Mieszkanie,81,Garaż,1 łazienka,Tak,Tak,160
"Ursynów, Warszawa",2100,Agencja,2 pokoje,Mieszkanie,60,Nie podano,1 łazienka,Tak,Tak,192
"Ursynów, Warszawa",2800,Agencja,3 pokoje,Mieszkanie,72,Garaż,1 łazienka,Tak,Nie,205
"Ursynów, Warszawa",2680,Agencja,2 pokoje,Mieszkanie,51,Nie podano,1 łazienka,Tak,Tak,169
"Ursynów, Warszawa",2500,Agencja,2 pokoje,Mieszkanie,58,Nie podano,1 łazienka,Tak,Tak,192
"Ursynów, Warszawa",2500,Agencja,2 pokoje,Mieszkanie,54,Nie podano,1 łazienka,Tak,Tak,147
"Ursynów, Warszawa",2150,Agencja,2 pokoje,Mieszkanie,46,Nie podano,1 łazienka,Tak,Tak,148
"Ursynów, Warszawa",2400,Agencja,2 pokoje,Mieszkanie,52,Nie podano,1 łazienka,Tak,Tak,191
"Ursynów, Warszawa",2200,Agencja,2 pokoje,Mieszkanie,53,Nie podano,1 łazienka,Tak,Tak,180
"Ursynów, Warszawa",1650,Właściciel,Kawalerka lub garsoniera,Mieszkanie,35,Ulica,1 łazienka,Tak,Nie,119
"Ursynów, Warszawa",2643,Agencja,3 pokoje,Mieszkanie,63,Nie podano,1 łazienka,Tak,Tak,160
"Ursynów, Warszawa",2200,Agencja,3 pokoje,Mieszkanie,90,Nie podano,1 łazienka,Tak,Tak,90
"Ursynów, Warszawa",2100,Agencja,Kawalerka lub garsoniera,Mieszkanie,37,Nie podano,Nie podano,Tak,Tak,90
"Ursynów, Warszawa",1650,Właściciel,Kawalerka lub garsoniera,Mieszkanie,28,Nie podano,1 łazienka,Nie,Nie,58
"Ursynów, Warszawa",2800,Właściciel,3 pokoje,Mieszkanie,60,Ulica,1 łazienka,Nie,Nie,195
"Wawer, Warszawa",1000,Właściciel,2 pokoje,Inne,46,Brak,1 łazienka,Tak,Tak,55
"Wawer, Warszawa",2500,Agencja,3 pokoje,Mieszkanie,68,Nie podano,Nie podano,Tak,Nie,68
"Wawer, Warszawa",1800,Właściciel,2 pokoje,Mieszkanie,38,Nie podano,1 łazienka,Tak,Tak,172
"Wilanów, Warszawa",3000,Agencja,2 pokoje,Mieszkanie,58,Nie podano,1 łazienka,Tak,Tak,130
"Wilanów, Warszawa",2500,Właściciel,2 pokoje,Mieszkanie,50,Garaż,1 łazienka,Tak,Tak,33
"Wilanów, Warszawa",4200,Agencja,3 pokoje,Mieszkanie,82,Nie podano,1 łazienka,Tak,Tak,65
"Wilanów, Warszawa",5000,Agencja,3 pokoje,Mieszkanie,90,Garaż,2 łazienki,Tak,Tak,76
"Wilanów, Warszawa",2700,Agencja,2 pokoje,Mieszkanie,50,Garaż,1 łazienka,Tak,Tak,94
"Wilanów, Warszawa",2300,Agencja,2 pokoje,Mieszkanie,55,Garaż,1 łazienka,Tak,Tak,103
"Wilanów, Warszawa",3000,Nie podano,2 pokoje,Mieszkanie,50,Garaż,Nie podano,Tak,Tak,118
"Wilanów, Warszawa",1900,Agencja,Kawalerka lub garsoniera,Mieszkanie,32,Nie podano,Nie podano,Tak,Tak,88
"Wilanów, Warszawa",2300,Agencja,2 pokoje,Mieszkanie,68,Garaż,1 łazienka,Tak,Tak,124
"Wilanów, Warszawa",2800,Agencja,2 pokoje,Mieszkanie,50,Kryty,Nie podano,Tak,Tak,73
"Wilanów, Warszawa",3500,Agencja,2 pokoje,Mieszkanie,64,Ulica,Nie podano,Tak,Tak,82
"Wilanów, Warszawa",2490,Agencja,2 pokoje,Mieszkanie,54,Nie podano,Nie podano,Tak,Tak,70
"Wilanów, Warszawa",2400,Agencja,2 pokoje,Mieszkanie,45,Garaż,Nie podano,Tak,Tak,63
"Włochy, Warszawa",1300,Właściciel,Kawalerka lub garsoniera,Mieszkanie,24,Ulica,1 łazienka,Tak,Tak,129
"Włochy, Warszawa",2000,Agencja,2 pokoje,Mieszkanie,47,Nie podano,1 łazienka,Tak,Tak,85
"Włochy, Warszawa",2500,Agencja,3 pokoje,Mieszkanie,75,Nie podano,1 łazienka,Tak,Tak,131
"Włochy, Warszawa",2100,Agencja,2 pokoje,Mieszkanie,38,Nie podano,Nie podano,Tak,Tak,79
"Wola, Warszawa",2950,Agencja,2 pokoje,Mieszkanie,41,Nie podano,1 łazienka,Tak,Tak,249
"Wola, Warszawa",3000,Agencja,3 pokoje,Mieszkanie,55,Ulica,Nie podano,Tak,Tak,33
"Wola, Warszawa",2800,Agencja,2 pokoje,Mieszkanie,45,Nie podano,Nie podano,Tak,Tak,106
"Wola, Warszawa",2750,Agencja,2 pokoje,Mieszkanie,57,Nie podano,Nie podano,Tak,Tak,154
"Wola, Warszawa",2600,Agencja,2 pokoje,Mieszkanie,60,Nie podano,Nie podano,Tak,Tak,91
"Wola, Warszawa",2500,Nie podano,2 pokoje,Mieszkanie,44,Garaż,1 łazienka,Tak,Tak,128
"Wola, Warszawa",2300,Właściciel,Kawalerka lub garsoniera,Mieszkanie,28,Ulica,1 łazienka,Tak,Tak,79
"Wola, Warszawa",3500,Właściciel,3 pokoje,Mieszkanie,70,Garaż,2 łazienki,Tak,Tak,56
"Wola, Warszawa",4400,Agencja,2 pokoje,Mieszkanie,50,Garaż,1 łazienka,Tak,Tak,83
"Wola, Warszawa",2600,Agencja,2 pokoje,Mieszkanie,53,Ulica,1 łazienka,Tak,Tak,142
"Wola, Warszawa",1800,Właściciel,2 pokoje,Mieszkanie,65,Ulica,1 łazienka,Tak,Tak,115
"Wola, Warszawa",3000,Agencja,2 pokoje,Inne,40,Garaż,1 łazienka,Tak,Tak,109
"Wola, Warszawa",2200,Właściciel,2 pokoje,Mieszkanie,50,Garaż,1 łazienka,Nie,Nie,111
"Wola, Warszawa",2200,Właściciel,2 pokoje,Mieszkanie,50,Garaż,1 łazienka,Nie,Nie,111
"Wola, Warszawa",2400,Agencja,2 pokoje,Mieszkanie,50,Ulica,Nie podano,Tak,Tak,103
"Wola, Warszawa",2500,Agencja,3 pokoje,Mieszkanie,56,Nie podano,1 łazienka,Tak,Tak,139
"Wola, Warszawa",3400,Agencja,2 pokoje,Mieszkanie,54,Nie podano,1 łazienka,Tak,Tak,151
"Wola, Warszawa",3200,Agencja,3 pokoje,Mieszkanie,76,Nie podano,Nie podano,Tak,Tak,91
"Wola, Warszawa",3000,Agencja,2 pokoje,Mieszkanie,54,Nie podano,Nie podano,Tak,Tak,102
"Wola, Warszawa",3000,Agencja,2 pokoje,Mieszkanie,35,Nie podano,Nie podano,Tak,Tak,109
"Wola, Warszawa",2700,Agencja,2 pokoje,Mieszkanie,42,Nie podano,1 łazienka,Tak,Tak,175
"Wola, Warszawa",2600,Właściciel,3 pokoje,Mieszkanie,47,Nie podano,1 łazienka,Tak,Tak,105
"Wola, Warszawa",2950,Agencja,3 pokoje,Mieszkanie,69,Nie podano,1 łazienka,Tak,Tak,156
"Wola, Warszawa",2650,Agencja,2 pokoje,Mieszkanie,50,Nie podano,1 łazienka,Tak,Tak,163
"Wola, Warszawa",2500,Agencja,2 pokoje,Mieszkanie,40,Nie podano,1 łazienka,Tak,Tak,170
"Wola, Warszawa",2800,Agencja,2 pokoje,Mieszkanie,65,Nie podano,1 łazienka,Tak,Tak,164
"Wola, Warszawa",2400,Agencja,Kawalerka lub garsoniera,Mieszkanie,34,Nie podano,Nie podano,Tak,Tak,97
"Wola, Warszawa",2000,Agencja,Kawalerka lub garsoniera,Mieszkanie,26,Nie podano,Nie podano,Tak,Tak,85
"Wola, Warszawa",2200,Właściciel,2 pokoje,Mieszkanie,50,Garaż,1 łazienka,Nie,Nie,111
"Wola, Warszawa",1500,Właściciel,Kawalerka lub garsoniera,Mieszkanie,29,Nie podano,1 łazienka,Nie,Nie,46
"Wola, Warszawa",1550,Właściciel,Kawalerka lub garsoniera,Mieszkanie,28,Ulica,1 łazienka,Tak,Tak,98
"Wola, Warszawa",2100,Agencja,Kawalerka lub garsoniera,Mieszkanie,39,Garaż,1 łazienka,Nie,Nie,153
"Żoliborz, Warszawa",4000,Agencja,3 pokoje,Mieszkanie,62,Garaż,1 łazienka,Tak,Tak,65
"Żoliborz, Warszawa",1200,Właściciel,Kawalerka lub garsoniera,Mieszkanie,31,Brak,1 łazienka,Tak,Nie,36
"Żoliborz, Warszawa",2900,Agencja,3 pokoje,Mieszkanie,50,Garaż,1 łazienka,Tak,Tak,112
"Żoliborz, Warszawa",2600,Agencja,2 pokoje,Mieszkanie,52,Garaż,1 łazienka,Tak,Tak,111
"Żoliborz, Warszawa",4200,Właściciel,3 pokoje,Mieszkanie,63,Nie podano,Nie podano,Tak,Tak,173
"Żoliborz, Warszawa",3200,Agencja,3 pokoje,Mieszkanie,75,Garaż,1 łazienka,Nie,Nie,137
"Żoliborz, Warszawa",2500,Właściciel,2 pokoje,Mieszkanie,42,Garaż,1 łazienka,Nie,Tak,63
"Żoliborz, Warszawa",2500,Agencja,2 pokoje,Mieszkanie,37,Nie podano,Nie podano,Tak,Tak,252
"Żoliborz, Warszawa",3600,Agencja,3 pokoje,Mieszkanie,57,Nie podano,Nie podano,Tak,Tak,99
"Żoliborz, Warszawa",2500,Agencja,2 pokoje,Mieszkanie,56,Nie podano,1 łazienka,Tak,Tak,171
"Żoliborz, Warszawa",4800,Agencja,3 pokoje,Mieszkanie,85,Garaż,2 łazienki,Tak,Tak,95
"Bemowo, Warszawa",3200,Agencja,3 pokoje,Mieszkanie,70,Garaż,2 łazienki,Tak,Tak,136
"Bemowo, Warszawa",2350,Agencja,2 pokoje,Mieszkanie,48,Nie podano,Nie podano,Tak,Tak,71
"Bemowo, Warszawa",2200,Agencja,2 pokoje,Mieszkanie,56,Garaż,1 łazienka,Tak,Tak,166
"Bemowo, Warszawa",3000,Właściciel,3 pokoje,Mieszkanie,70,Nie podano,Nie podano,Tak,Tak,35
"Bemowo, Warszawa",2000,Agencja,2 pokoje,Mieszkanie,50,Nie podano,1 łazienka,Tak,Tak,205
"Bemowo, Warszawa",2600,Właściciel,3 pokoje,Mieszkanie,64,Nie podano,Nie podano,Tak,Tak,57
"Bemowo, Warszawa",2400,Właściciel,2 pokoje,Mieszkanie,60,Garaż,1 łazienka,Tak,Tak,59
"Bemowo, Warszawa",2400,Agencja,3 pokoje,Mieszkanie,62,Garaż,1 łazienka,Tak,Tak,213
"Bemowo, Warszawa",3000,Agencja,4 pokoje,Mieszkanie,83,Nie podano,1 łazienka,Tak,Tak,51
"Bemowo, Warszawa",2200,Właściciel,2 pokoje,Mieszkanie,52,Nie podano,Nie podano,Tak,Tak,139
"Bemowo, Warszawa",2600,Agencja,3 pokoje,Mieszkanie,76,Nie podano,1 łazienka,Tak,Tak,52
"Bemowo, Warszawa",2600,Agencja,3 pokoje,Mieszkanie,61,Nie podano,1 łazienka,Tak,Tak,50
"Bemowo, Warszawa",2400,Właściciel,3 pokoje,Mieszkanie,64,Nie podano,Nie podano,Tak,Tak,114
"Bemowo, Warszawa",2550,Agencja,3 pokoje,Mieszkanie,64,Nie podano,1 łazienka,Tak,Tak,49
"Bemowo, Warszawa",1999,Właściciel,2 pokoje,Mieszkanie,50,Nie podano,Nie podano,Tak,Tak,93
"Białołęka, Warszawa",2900,Właściciel,4 pokoje,Mieszkanie,80,Nie podano,2 łazienki,Tak,Tak,55
"Białołęka, Warszawa",1750,Agencja,2 pokoje,Mieszkanie,60,Garaż,1 łazienka,Tak,Tak,171
"Białołęka, Warszawa",2200,Agencja,3 pokoje,Mieszkanie,70,Kryty,1 łazienka,Tak,Tak,321
"Białołęka, Warszawa",2300,Agencja,2 pokoje,Mieszkanie,56,Kryty,1 łazienka,Tak,Tak,238
"Białołęka, Warszawa",1950,Właściciel,2 pokoje,Mieszkanie,50,Kryty,1 łazienka,Nie,Nie,95
"Białołęka, Warszawa",1800,Agencja,2 pokoje,Mieszkanie,51,Nie podano,Nie podano,Tak,Tak,86
"Bielany, Warszawa",2200,Agencja,2 pokoje,Mieszkanie,40,Garaż,1 łazienka,Tak,Tak,182
"Bielany, Warszawa",2400,Agencja,2 pokoje,Mieszkanie,39,Nie podano,Nie podano,Tak,Tak,118
"Bielany, Warszawa",2400,Agencja,2 pokoje,Mieszkanie,35,Nie podano,Nie podano,Tak,Tak,65
"Bielany, Warszawa",2250,Agencja,2 pokoje,Mieszkanie,48,Nie podano,1 łazienka,Tak,Tak,159
"Bielany, Warszawa",2000,Agencja,2 pokoje,Mieszkanie,43,Nie podano,Nie podano,Tak,Tak,99
"Bielany, Warszawa",2400,Agencja,2 pokoje,Mieszkanie,40,Garaż,1 łazienka,Tak,Tak,77
"Bielany, Warszawa",2200,Agencja,2 pokoje,Mieszkanie,51,Nie podano,1 łazienka,Nie,Nie,106
"Bielany, Warszawa",1800,Agencja,2 pokoje,Inne,42,Nie podano,1 łazienka,Tak,Tak,68
"Bielany, Warszawa",2900,Agencja,2 pokoje,Mieszkanie,55,Nie podano,Nie podano,Tak,Tak,95
"Bielany, Warszawa",2750,Właściciel,3 pokoje,Mieszkanie,58,Nie podano,Nie podano,Tak,Tak,181
"Bielany, Warszawa",2300,Właściciel,2 pokoje,Mieszkanie,41,Garaż,1 łazienka,Tak,Tak,164
"Bielany, Warszawa",2400,Agencja,3 pokoje,Mieszkanie,94,Garaż,1 łazienka,Nie,Nie,177
"Bielany, Warszawa",4100,Agencja,4 pokoje,Mieszkanie,82,Garaż,1 łazienka,Tak,Nie,167
